0,Hayes Kathryn,Kim,6
1,DeFreitas Scott,Andy,6
2,Grahn Nancy,Julia,4
3,Linder Kate,Esther,5
4,Cooper Jeanne,Katherine,5
5,Ehlers Beth,Harley,2
6,Novak John,Keith,4
7,Elliot Patricia,Renee,3
8,Hutchinson Fiona,Gabrielle,5
9,Carey Phil,Asa,5
10,Walker Nicholas,Max,3
11,Ross Charlotte,Eve,0
12,Anthony Eugene,Stan,8
13,Douglas Jerry,John,5
14,Holbrook Anna,Sharlene,7
15,Hammer Jay,Fletcher,2
16,Sloan Tina,Lillian,2
17,DuClos Danielle,Lisa,3
18,Tuck Jessica,Megan,3
19,Ashford Matthew,Jack,0
20,Novak John,Keith,4
21,Larson Jill,Opal,8
22,McKinnon Mary,Denise,7
23,Barr Julia,Brooke,8
24,Borlenghi Matt,Brian,8
25,Hughes Finola,Anna,1
26,Rogers Tristan,Robert,1
27,Richardson Cheryl,Jenny,1
28,Evans Mary Beth,Kayla,0
